points;parameters;xmin;xmax;ymin;ymax
2000000;[[0.154, -0.801, 0.929, 1.917, 1.78, 1.515, -1.896, -0.808, -0.695, 0.651], [0.046, 1.665, -0.028, -0.41, 1.184, 1.854, -0.916, 0.47, -1.195, 0.921]];-0.26;0.3;-0.41;0.4
2000000;[[0.118, -1.542, 0.42, 1.875, 0.969, -0.689, 1.748, -0.834, -0.268, 0.004], [0.228, 1.746, -1.586, 1.144, 1.976, -1.889, 0.282, 1.45, 0.196, -1.669]];-0.47;0.45;-0.04;0.89
2000000;[[-0.329, 1.018, 0.819, -1.417, -0.751, -1.2, 0.678, 0.446, 1.292, -1.894], [0.71, 0.753, -1.334, 0.17, -1.194, -0.184, 1.314, 1.328, -1.336, 0.143]];-0.38;0.0;0.0;0.94
2000000;[[0.226, -0.377, 0.557, -1.67, -1.626, -1.511, -0.744, -0.135, -1.763, 0.181], [0.114, 1.72, -1.475, -1.133, 0.682, 1.014, -1.134, 0.16, -0.921, -0.063]];-0.33;0.42;-0.63;0.45
2000000;[[-0.619, -0.226, 0.84, -0.706, -0.094, -0.062, 1.886, -0.403, 0.481, -0.062], [0.087, -0.806, 1.409, 1.604, -0.208, 1.133, -0.963, 0.995, 0.615, -1.176]];-1.35;0.79;-0.31;1.1
2000000;[[-0.227, 1.128, -1.912, 1.766, 0.819, -0.615, -0.792, -1.298, 1.016, 1.291], [-0.66, 0.448, 1.572, 1.488, -0.631, -1.864, 1.237, -1.258, -0.101, -0.659]];-0.27;0.47;-0.77;0.12
2000000;[[-0.352, -1.179, -0.842, 1.109, -0.722, 1.808, -1.394, -0.031, -0.929, 1.328], [0.494, 1.015, -2.568, 0.434, 2.086, 2.24, -0.906, 0.479, 1.882, -1.589]];-0.43;0.0;-0.4;0.8
2000000;[[-0.576, -0.57, 0.781, 2.079, -1.027, 0.554, -0.884, -0.177, 0.855, 1.077], [-0.079, 1.472, 0.463, -1.691, 1.394, 1.045, -2.182, 1.172, 1.591, -2.454]];-0.59;0.03;-0.57;0.21
2000000;[[-0.455, -0.04, 0.066, -0.748, -0.017, -1.244, -0.284, 0.357, 0.414, -0.843], [-0.807, -1.098, 0.472, -1.756, 0.603, -0.031, 1.031, -0.655, -1.423, -0.934]];-0.58;0.01;-0.84;0.36
2000000;[[-0.059, 0.856, 0.059, 0.127, 1.168, -0.236, -0.344, -0.902, 0.626, -0.666], [0.338, -1.493, -1.078, 0.856, 0.076, -1.383, 1.945, -0.719, -0.608, -1.941]];-0.68;0.04;-0.66;0.68
2000000;[[-0.688, -0.44, 0.642, 2.251, -1.114, 0.588, -1.066, -0.395, 0.848, 1.188], [-0.094, 1.292, 0.406, -1.499, 1.446, 1.22, -2.33, 1.144, 1.735, -2.519]];-0.69;0.0;-0.46;0.0
2000000;[[-0.352, -1.179, -0.842, 1.109, -0.722, 1.808, -1.394, -0.031, -0.929, 1.328], [0.494, 1.015, -2.568, 0.434, 2.086, 2.24, -0.906, 0.479, 1.882, -1.589]];-0.43;0.0;-0.4;0.8
2000000;[[-0.555, -0.388, 0.83, 2.101, -0.957, 0.701, -0.652, -0.019, 0.823, 1.161], [-0.146, 1.403, 0.615, -1.809, 1.347, 1.159, -2.077, 1.23, 1.568, -2.321]];-0.56;0.0;-0.57;0.1
2000000;[[-0.579, -0.562, 0.84, 2.083, -1.044, 0.475, -0.888, -0.141, 0.92, 1.078], [-0.075, 1.453, 0.515, -1.646, 1.361, 0.999, -2.217, 1.23, 1.623, -2.476]];-0.58;0.01;-0.56;0.16
2000000;[[-0.619, -0.226, 0.84, -0.706, -0.094, -0.062, 1.886, -0.403, 0.481, -0.062], [0.087, -0.806, 1.409, 1.604, -0.208, 1.133, -0.963, 0.995, 0.615, -1.176]];-1.35;0.79;-0.31;1.1
2000000;[[-0.653, -0.359, 0.917, 2.066, -0.824, 0.646, -0.647, 0.037, 0.772, 1.134], [-0.273, 1.386, 0.567, -1.838, 1.433, 1.207, -2.011, 1.091, 1.589, -2.389]];-0.65;0.12;-0.68;0.68
2000000;[[0.303, -0.618, -0.318, 0.736, -1.902, 1.624, -1.407, 1.677, -1.142, -1.257], [0.023, -0.14, 1.187, -1.746, 0.637, 1.659, -0.958, -1.698, 1.736, -1.945]];-0.44;0.6;-0.19;0.19
1500000;[[-0.247, -1.044, -0.858, 0.969, -0.252, 1.949, -1.191, -0.436, -0.421, 1.524], [0.72, 0.838, -1.711, -0.456, 1.8, 1.319, -0.53, 0.917, 0.535, -1.991]];-0.48;0.0;0.0;0.72
1500000;[[-0.421, -0.932, -0.259, 1.212, -0.134, 1.551, -1.302, -0.481, 0.161, 1.47], [0.467, 1.308, -1.821, -0.114, 1.627, 1.895, -0.643, 1.332, 1.644, -1.966]];-0.51;0.07;-0.38;0.67
